id,sentence
,171
,228
,278
,337
,366
,390
,514
,411
,489
,479
,474
,493
,467
,441
,434
,452
,460
,448
,524
,505
,483
,492
,508
,500
,463
,466
,521
,436
,362
,374
,300
,299
,292
,285
,294
,388
,428
,525
,518
,586
,555
,604
,662
,634
,695
,793
,806
,826
,822
,756
,711
,662
,580
,613
,602
,536
,548
,578
,464
,436
,389
,385
,310
,269
,302
,208
,189
,120
,139
,159
,149
,164
,135
,112
,114
,138
,123
,133
,100
,81
,92
,69
,89
,75
,64
,44
,47
,37
,32
,34
,21
,17
,5
,7
,8
,5
,6
,2
,2
,1
,2
